name,display_rank,rank,tied
AdventHealth University,Unranked,-2,FALSE
Albany College of Pharmacy and Health Sciences,Unranked,-2,FALSE
Albizu University,Unranked,-2,FALSE
Albizu University--Miami,Unranked,-2,FALSE
Allen College,Unranked,-2,FALSE
Alliant International University,Unranked,-2,FALSE
Alpena Community College,Unranked,-2,FALSE
American Academy of Art,Unranked,-2,FALSE
American College of Thessaloniki,Unranked,-2,FALSE
American Samoa Community College,Unranked,-2,FALSE
American University in Bulgaria,Unranked,-2,FALSE
American University in Cairo,Unranked,-2,FALSE
American University of Beirut,Unranked,-2,FALSE
American University of Health Sciences,Unranked,-2,FALSE
American University of Paris,Unranked,-2,FALSE
American University of Puerto Rico--Manati,Unranked,-2,FALSE
AmeriTech College-Draper,Unranked,-2,FALSE
Andrew College,Unranked,-2,FALSE
Antelope Valley College,Unranked,-2,FALSE
Appalachian Bible College,Unranked,-2,FALSE
Arizona College of Nursing--Las Vegas,Unranked,-2,FALSE
Arizona College of Nursing--Tempe,Unranked,-2,FALSE
Art Academy of Cincinnati,Unranked,-2,FALSE
Aspen University,Unranked,-2,FALSE
Atenas College,Unranked,-2,FALSE
Atlanta Metropolitan State College,Unranked,-2,FALSE
Aultman College of Nursing and Health Sciences,Unranked,-2,FALSE
Austin Community College District,Unranked,-2,FALSE
Babson College,Unranked,-2,FALSE
Bakersfield College,Unranked,-2,FALSE
Baptist Bible College,Unranked,-2,FALSE
Baptist Health Sciences University,Unranked,-2,FALSE
Baptist Missionary Association Theological Seminary,Unranked,-2,FALSE
Bellevue College,Unranked,-2,FALSE
Bellin College,Unranked,-2,FALSE
Bellingham Technical College,Unranked,-2,FALSE
Benjamin Franklin Institute of Technology,Unranked,-2,FALSE
Blessing-Rieman College of Nursing and Health Sciences,Unranked,-2,FALSE
Bon Secours Memorial College of Nursing,Unranked,-2,FALSE
Boston Architectural College,Unranked,-2,FALSE
Brazosport College,Unranked,-2,FALSE
Brookline College--Albuquerque,Unranked,-2,FALSE
Brookline College-Phoenix,Unranked,-2,FALSE
Bryan College of Health Sciences,Unranked,-2,FALSE
Bryant & Stratton College--Wauwatosa,Unranked,-2,FALSE
Cabarrus College of Health Sciences,Unranked,-2,FALSE
California College of the Arts,Unranked,-2,FALSE
Cambridge College,Unranked,-2,FALSE
Carolinas College of Health Sciences,Unranked,-2,FALSE
Cascadia College,Unranked,-2,FALSE
CEM College--San Juan,Unranked,-2,FALSE
Centralia College,Unranked,-2,FALSE
Chamberlain University,Unranked,-2,FALSE
Charles R. Drew University of Medicine and Science,Unranked,-2,FALSE
Chicago School of Professional Psychology at Los Angeles,Unranked,-2,FALSE
Chipola College,Unranked,-2,FALSE
Christ College of Nursing and Health Sciences,Unranked,-2,FALSE
Clark College,Unranked,-2,FALSE
Clarkson College,Unranked,-2,FALSE
Clear Creek Baptist Bible College,Unranked,-2,FALSE
Cleary University,Unranked,-2,FALSE
Cleveland Institute of Art,Unranked,-2,FALSE
Cleveland Institute of Music,Unranked,-2,FALSE
Cleveland University--Kansas City,Unranked,-2,FALSE
Clover Park Technical College,Unranked,-2,FALSE
College for Creative Studies,Unranked,-2,FALSE
College of Biblical Studies--Houston,Unranked,-2,FALSE
College of Central Florida,Unranked,-2,FALSE
College of Menominee Nation,Unranked,-2,FALSE
College of Southern Nevada,Unranked,-2,FALSE
Columbia Basin College,Unranked,-2,FALSE
Columbia Central University--Caguas,Unranked,-2,FALSE
Columbia College Hollywood,Unranked,-2,FALSE
Columbus College of Art and Design,Unranked,-2,FALSE
Commonwealth University of Pennsylvania,Unranked,-2,FALSE
Community College of Denver,Unranked,-2,FALSE
Conception Seminary College,Unranked,-2,FALSE
Concordia University Ann Arbor,Unranked,-2,FALSE
Cornish College of the Arts,Unranked,-2,FALSE
Cox College,Unranked,-2,FALSE
Culinary Institute of America,Unranked,-2,FALSE
Curtis Institute of Music,Unranked,-2,FALSE
Cypress College,Unranked,-2,FALSE
Davis College,Unranked,-2,FALSE
Daytona State College,Unranked,-2,FALSE
Delaware Technical Community College--Terry,Unranked,-2,FALSE
Denver College of Nursing,Unranked,-2,FALSE
DEREE--The American College of Greece,Unranked,-2,FALSE
Design Institute of San Diego,Unranked,-2,FALSE
Dharma Realm Buddhist University,Unranked,-2,FALSE
DigiPen Institute of Technology,Unranked,-2,FALSE
Dine College,Unranked,-2,FALSE
Divine Word College,Unranked,-2,FALSE
Eagle Gate College--Murray,Unranked,-2,FALSE
Eastern Florida State College,Unranked,-2,FALSE
Eastern International College--Jersey City,Unranked,-2,FALSE
East Georgia State College,Unranked,-2,FALSE
Edmonds Community College,Unranked,-2,FALSE
